,All ages,,,,,,,Under 5 years,,,,,,,,5 to 17 years,,,,,,,,18 to 24 years,,,,,,,,25 to 34 years,,,,,,,,35 to 44 years,,,,,,,,45 to 64 years,,,,,,,,65 to 84 years,,,,,,,,85 to 99 years,,,,,,,,100 years and over,,,,,,,
State,Population,,"Change, 2010 to 2020",,Female,,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index
,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,
Connecticut,"3,605,944","3,574,097","31,847",0.9,"1,856,091",51.5,55.7,"176,831","202,106","-25,275",-12.5,"86,888",49.1,4.9,67.8,"559,886","614,909","-55,023",-8.9,"273,550",48.9,15.5,66.2,"334,929","326,659","8,270",2.5,"165,468",49.4,9.3,62.8,"454,315","420,377","33,938",8.1,"227,797",50.1,12.6,62.5,"436,812","484,438","-47,626",-9.8,"224,270",51.3,12.1,62.0,"996,106","1,019,049","-22,943",-2.3,"516,152",51.8,27.6,48.3,"559,338","421,661","137,677",32.7,"304,612",54.5,15.5,32.7,"86,415","83,968","2,447",2.9,"56,286",65.1,2.40,22.4,"1,312",930,382,41.1,"1,068",81.4,0.04,26.1
Delaware,"989,948","897,934","92,014",10.2,"513,229",51.8,59.6,"51,230","55,886","-4,656",-8.3,"25,071",48.9,5.2,71.5,"155,175","149,879","5,296",3.5,"76,437",49.3,15.7,70.2,"91,203","90,905",298,0.3,"45,408",49.8,9.2,66.5,"122,665","111,417","11,248",10.1,"62,499",51.0,12.4,65.1,"116,070","116,087",-17,0.0,"59,920",51.6,11.7,64.3,"259,028","244,483","14,545",5.9,"136,426",52.7,26.2,53.3,"175,145","113,533","61,612",54.3,"95,257",54.4,17.7,37.6,"19,235","15,598","3,637",23.3,"12,061",62.7,1.94,31.0,197,146,51,34.9,150,76.1,0.02,45.7
District of Columbia,"689,545","601,723","87,822",14.6,"366,768",53.2,67.2,"37,068","32,613","4,455",13.7,"18,160",49.0,5.4,69.3,"77,316","68,202","9,114",13.4,"38,074",49.2,11.2,62.8,"83,106","87,015","-3,909",-4.5,"47,937",57.7,12.1,69.8,"162,577","124,745","37,832",30.3,"87,580",53.9,23.6,65.7,"105,015","80,659","24,356",30.2,"53,994",51.4,15.2,68.2,"137,687","139,680","-1,993",-1.4,"70,597",51.3,20.0,62.9,"76,291","58,494","17,797",30.4,"43,552",57.1,11.1,58.2,"10,255","10,159",96,0.9,"6,676",65.1,1.49,54.4,230,156,74,47.4,198,86.1,0.03,57.9
Florida,"21,538,187","18,801,310","2,736,877",14.6,"11,073,953",51.4,64.1,"1,030,284","1,073,506","-43,222",-4.0,"505,026",49.0,4.8,70.9,"3,168,671","2,928,585","240,086",8.2,"1,548,409",48.9,14.7,70.4,"1,820,715","1,739,657","81,058",4.7,"901,420",49.5,8.5,69.1,"2,639,606","2,289,545","350,061",15.3,"1,323,287",50.1,12.3,68.2,"2,589,465","2,431,254","158,211",6.5,"1,323,334",51.1,12.0,67.9,"5,721,420","5,079,161","642,259",12.6,"2,969,088",51.9,26.6,61.6,"4,031,838","2,825,477","1,206,361",42.7,"2,175,578",54.0,18.7,45.9,"529,608","430,035","99,573",23.2,"322,766",60.9,2.46,42.5,"6,580","4,090","2,490",60.9,"5,045",76.7,0.03,48.5
Georgia,"10,711,908","9,687,653","1,024,255",10.6,"5,523,338",51.6,64.1,"614,218","686,785","-72,567",-10.6,"302,012",49.2,5.7,70.1,"1,877,416","1,804,767","72,649",4.0,"919,396",49.0,17.5,69.5,"1,056,938","970,157","86,781",8.9,"527,340",49.9,9.9,67.4,"1,454,158","1,335,560","118,598",8.9,"742,910",51.1,13.6,66.7,"1,390,218","1,397,540","-7,322",-0.5,"722,468",52.0,13.0,66.7,"2,739,671","2,460,809","278,862",11.3,"1,422,981",51.9,25.6,60.1,"1,431,960","918,212","513,748",56.0,"789,481",55.1,13.4,48.9,"145,592","112,682","32,910",29.2,"95,335",65.5,1.36,42.2,"1,737","1,141",596,52.2,"1,415",81.5,0.02,53.2
Hawaii,"1,455,271","1,360,301","94,970",7.0,"727,427",50.0,76.0,"77,352","87,407","-10,055",-11.5,"37,719",48.8,5.3,79.0,"222,014","216,411","5,603",2.6,"107,817",48.6,15.3,77.9,"125,554","130,312","-4,758",-3.7,"58,163",46.3,8.6,79.4,"191,122","185,333","5,789",3.1,"92,325",48.3,13.1,78.6,"183,939","176,373","7,566",4.3,"90,862",49.4,12.6,76.8,"372,839","369,327","3,512",1.0,"188,295",50.5,25.6,72.1,"244,612","164,900","79,712",48.3,"127,738",52.2,16.8,66.5,"37,193","29,932","7,261",24.3,"23,987",64.5,2.56,50.7,646,306,340,111.1,521,80.7,0.04,50.7
Idaho,"1,839,106","1,567,582","271,524",17.3,"919,910",50.0,35.9,"114,128","121,772","-7,644",-6.3,"55,941",49.0,6.2,46.4,"348,578","307,300","41,278",13.4,"169,816",48.7,19.0,45.1,"180,703","154,418","26,285",17.0,"89,117",49.3,9.8,43.4,"232,010","208,965","23,045",11.0,"113,149",48.8,12.6,41.1,"229,940","191,609","38,331",20.0,"114,109",49.6,12.5,36.6,"424,064","388,850","35,214",9.1,"214,439",50.6,23.1,29.5,"278,706","169,426","109,280",64.5,"144,442",51.8,15.2,17.2,"30,665","25,022","5,643",22.6,"18,655",60.8,1.67,12.4,312,220,92,41.8,242,77.6,0.02,23.5
Illinois,"12,812,508","12,830,632","-18,124",-0.1,"6,529,378",51.0,60.3,"705,616","835,577","-129,961",-15.6,"345,380",48.9,5.5,68.1,"2,107,423","2,293,602","-186,179",-8.1,"1,030,463",48.9,16.4,67.5,"1,186,380","1,246,307","-59,927",-4.8,"581,393",49.0,9.3,66.8,"1,744,219","1,775,957","-31,738",-1.8,"872,074",50.0,13.6,63.9,"1,668,405","1,725,890","-57,485",-3.3,"840,800",50.4,13.0,62.5,"3,306,480","3,344,086","-37,606",-1.1,"1,689,690",51.1,25.8,55.2,"1,840,355","1,374,301","466,054",33.9,"1,003,982",54.6,14.4,43.3,"250,202","232,493","17,709",7.6,"162,782",65.1,1.95,34.1,"3,428","2,419","1,009",41.7,"2,814",82.1,0.03,34.7
Indiana,"6,785,528","6,483,802","301,726",4.7,"3,440,868",50.7,41.3,"408,828","434,075","-25,247",-5.8,"199,773",48.9,6.0,53.8,"1,184,121","1,174,223","9,898",0.8,"577,542",48.8,17.5,52.4,"654,729","650,310","4,419",0.7,"322,355",49.2,9.6,48.7,"866,825","827,345","39,480",4.8,"433,072",50.0,12.8,46.1,"839,364","840,830","-1,466",-0.2,"419,892",50.0,12.4,44.0,"1,712,781","1,715,911","-3,130",-0.2,"869,242",50.8,25.2,33.6,"993,670","725,836","267,834",36.9,"537,241",54.1,14.6,22.3,"123,752","114,189","9,563",8.4,"80,560",65.1,1.82,18.4,"1,458","1,083",375,34.6,"1,191",81.7,0.02,24.8
Iowa,"3,190,369","3,046,355","144,014",4.7,"1,604,277",50.3,30.8,"190,064","202,123","-12,059",-6.0,"93,500",49.2,6.0,46.0,"550,202","525,870","24,332",4.6,"267,825",48.7,17.2,43.2,"309,504","305,867","3,637",1.2,"150,855",48.7,9.7,40.7,"397,833","382,583","15,250",4.0,"195,327",49.1,12.5,37.5,"388,763","364,548","24,215",6.6,"191,445",49.2,12.2,32.6,"779,550","812,476","-32,926",-4.1,"391,427",50.2,24.4,22.0,"498,200","378,230","119,970",31.7,"264,134",53.0,15.6,11.0,"75,223","73,812","1,411",1.9,"48,901",65.0,2.36,6.6,"1,030",846,184,21.7,863,83.8,0.03,13.9
Kansas,"2,937,880","2,853,118","84,762",3.0,"1,475,575",50.2,45.4,"179,446","205,492","-26,046",-12.7,"87,519",48.8,6.1,57.4,"529,118","521,447","7,671",1.5,"258,325",48.8,18.0,56.3,"289,573","288,159","1,414",0.5,"139,033",48.0,9.9,54.3,"375,641","377,720","-2,079",-0.6,"183,863",48.9,12.8,50.4,"366,965","346,673","20,292",5.9,"181,549",49.5,12.5,46.7,"706,747","737,511","-30,764",-4.2,"357,653",50.6,24.1,38.0,"429,593","316,798","112,795",35.6,"228,765",53.3,14.6,23.9,"59,978","58,692","1,286",2.2,"38,193",63.7,2.04,17.1,819,626,193,30.8,675,82.4,0.03,18.7
Kentucky,"4,505,836","4,339,367","166,469",3.8,"2,290,915",50.8,32.8,"264,254","282,367","-18,113",-6.4,"129,100",48.9,5.9,44.3,"757,682","741,004","16,678",2.3,"369,289",48.7,16.8,42.5,"412,349","412,801",-452,-0.1,"203,912",49.5,9.2,39.9,"569,025","566,216","2,809",0.5,"283,751",49.9,12.6,37.5,"560,341","576,662","-16,321",-2.8,"280,996",50.1,12.4,34.5,"1,175,026","1,182,090","-7,064",-0.6,"599,841",51.0,26.1,26.8,"690,199","509,019","181,180",35.6,"373,533",54.1,15.3,17.9,"76,209","68,612","7,597",11.1,"49,913",65.5,1.69,14.4,751,596,155,26.0,580,77.2,0.02,24.0
Louisiana,"4,657,757","4,533,372","124,385",2.7,"2,396,471",51.5,58.6,"281,257","314,260","-33,003",-10.5,"138,535",49.3,6.0,64.6,"805,952","803,755","2,197",0.3,"394,475",48.9,17.3,63.6,"433,744","474,531","-40,787",-8.6,"219,260",50.6,9.3,62.3,"612,716","628,433","-15,717",-2.5,"313,048",51.1,13.2,61.3,"599,519","564,599","34,920",6.2,"306,417",51.1,12.9,59.6,"1,161,426","1,189,937","-28,511",-2.4,"599,578",51.6,24.9,54.7,"684,995","492,171","192,824",39.2,"373,850",54.6,14.7,47.7,"77,326","65,092","12,234",18.8,"50,642",65.5,1.66,41.5,822,594,228,38.4,666,81.0,0.02,52.5
